Client_No,Branch,Gender,D.O.B,Segment,Nationality,JoinDate,Last_transn
86,AGENCE DE KENYA ,M,1/24/2000,RETAIL                        ,RW,2/26/2018,7/3/2019
87,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,9/18/2018,7/15/2019
88,AGENCE DE KENYA ,M,8/29/1989,RETAIL                        ,RW,7/25/2016,7/24/2017
89,AGENCE DE KENYA ,F,9/29/1999,SMEs-Small& medium enterp-CORP,RW,5/25/2018,4/2/2019
90,AGENCE DE KENYA ,F,1/1/1982,RETAIL                        ,RW,2/1/2016,1/1/1900
91,AGENCE DE KENYA ,M,1/1/1982,RETAIL                        ,RW,2/5/2014,7/15/2019
92,AGENCE DE KENYA ,F,1/1/1980,RETAIL                        ,RW,2/24/2014,11/27/2018
93,AGENCE DE KENYA ,M,6/21/1985,RETAIL                        ,UG,2/3/2015,3/30/2017
94,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,1/23/2014,8/3/2016
95,AGENCE DE KENYA ,M,1/20/1997,RETAIL                        ,RW,1/25/2018,3/6/2019
96,AGENCE DE KENYA ,M,2/18/1982,RETAIL                        ,UG,7/10/2013,7/12/2019
97,AGENCE DE KENYA ,M,8/25/1996,RETAIL                        ,RW,11/22/2013,1/21/2016
98,AGENCE DE KENYA ,M,1/1/1954,RETAIL                        ,RW,8/4/2016,8/25/2017
99,AGENCE DE KENYA ,F,1/1/1994,RETAIL                        ,RW,8/24/2018,4/12/2019
100,AGENCE DE KENYA ,M,9/22/1982,RETAIL                        ,RW,12/19/2013,7/15/2019
101,AGENCE DE KENYA ,M,7/19/1987,RETAIL                        ,RW,11/20/2013,7/12/2019
102,AGENCE DE KENYA ,M,1/1/1997,RETAIL                        ,RW,4/9/2018,7/15/2019
103,AGENCE DE KENYA ,F,5/10/1981,RETAIL                        ,RW,7/18/2013,10/10/2016
104,AGENCE DE KENYA ,F,1/1/1979,RETAIL                        ,RW,12/19/2017,1/1/1900
105,AGENCE DE KENYA ,M,11/22/1978,RETAIL                        ,RW,9/11/2012,6/20/2017
106,AGENCE DE KENYA ,M,12/28/1976,RETAIL                        ,RW,9/19/2012,7/1/2019
107,AGENCE DE KENYA ,M,4/8/1959,RETAIL                        ,BI,4/3/2017,7/9/2019
108,AGENCE DE KENYA ,M,2/27/1962,RETAIL                        ,BE,1/26/2015,12/31/2018
109,AGENCE DE KENYA ,M,1/1/1993,RETAIL                        ,RW,8/8/2016,7/9/2019
110,AGENCE DE KENYA ,M,1/1/1983,RETAIL                        ,RW,7/29/2013,11/27/2015
111,AGENCE DE KENYA ,F,6/24/1989,RETAIL                        ,RW,5/28/2019,7/8/2019
112,AGENCE DE KENYA ,M,7/3/1974,RETAIL                        ,CM,9/25/2015,4/13/2016
113,AGENCE DE KENYA ,F,1/1/1989,RETAIL                        ,RW,4/26/2019,6/19/2019
114,AGENCE DE KENYA ,M,2/7/1997,RETAIL                        ,RW,9/6/2018,11/2/2018
115,AGENCE DE KENYA ,M,1/1/1994,RETAIL                        ,RW,1/23/2019,6/27/2019
116,AGENCE DE KENYA ,M,1/1/1992,RETAIL                        ,RW,7/24/2015,7/8/2019
117,AGENCE DE KENYA ,M,1/3/1987,RETAIL                        ,RW,7/6/2015,7/15/2019
118,AGENCE DE KENYA ,M,3/1/1994,RETAIL                        ,RW,8/31/2018,1/1/1900
119,AGENCE DE KENYA ,M,1/1/1996,RETAIL                        ,RW,4/4/2017,6/20/2019
120,AGENCE DE KENYA ,F,9/22/1990,RETAIL                        ,RW,1/15/2015,7/15/2019
121,AGENCE DE KENYA ,M,1/1/1988,RETAIL                        ,RW,12/31/2013,12/29/2015
122,AGENCE DE KENYA ,M,5/1/1981,RETAIL                        ,RW,4/27/2015,1/1/1900
123,AGENCE DE KENYA ,F,8/24/1997,RETAIL                        ,RW,12/4/2018,7/8/2019
124,AGENCE DE KENYA ,F,2/24/1986,RETAIL                        ,RW,5/15/2018,7/15/2019
125,AGENCE DE KENYA ,M,12/15/1990,RETAIL                        ,RW,3/14/2016,11/30/2017
126,AGENCE DE KENYA ,M,5/5/1955,RETAIL                        ,BI,3/18/2019,1/1/1900
127,AGENCE DE KENYA ,M,12/4/1994,RETAIL                        ,RW,11/22/2017,7/12/2019
128,AGENCE DE KENYA ,F,1/1/1996,RETAIL                        ,RW,4/12/2019,6/19/2019
129,AGENCE DE KENYA ,F,4/13/1991,RETAIL                        ,RW,4/16/2013,2/6/2018
130,AGENCE DE KENYA ,M,1/1/1988,RETAIL                        ,RW,7/29/2015,2/3/2017
131,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,2/18/2019,7/9/2019
132,AGENCE DE KENYA ,M,1/1/1981,RETAIL                        ,RW,11/14/2013,11/27/2015
133,AGENCE DE KENYA ,M,1/1/1989,RETAIL                        ,RW,2/11/2014,6/12/2014
134,AGENCE DE KENYA ,M,1/1/1991,RETAIL                        ,RW,11/2/2017,7/5/2019
135,AGENCE DE KENYA ,M,9/25/1991,RETAIL                        ,RW,5/17/2017,4/29/2019
136,AGENCE DE KENYA ,M,1/1/1964,RETAIL                        ,RW,8/26/2014,10/24/2016
137,AGENCE DE KENYA ,M,1/1/1985,RETAIL                        ,RW,3/29/2018,7/17/2018
138,AGENCE DE KENYA ,M,1/1/1988,RETAIL                        ,RW,11/2/2017,7/15/2019
139,AGENCE DE KENYA ,F,2/7/1987,RETAIL                        ,RW,2/27/2013,6/30/2014
140,AGENCE DE KENYA ,M,1/1/1982,RETAIL                        ,RW,6/19/2017,7/12/2019
141,AGENCE DE KENYA ,M,7/7/1976,RETAIL                        ,RW,12/3/2015,1/19/2017
142,AGENCE DE KENYA ,M,9/5/1994,RETAIL                        ,RW,12/11/2017,7/12/2019
143,AGENCE DE KENYA ,F,1/1/1990,RETAIL                        ,RW,4/18/2019,7/3/2019
144,AGENCE DE KENYA ,M,1/1/1997,RETAIL                        ,RW,7/11/2018,8/24/2018
145,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,9/19/2018,7/12/2019
146,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,4/25/2013,6/30/2014
147,AGENCE DE KENYA ,F,7/7/1984,RETAIL                        ,RW,3/13/2013,9/28/2016
148,AGENCE DE KENYA ,M,8/4/1994,RETAIL                        ,RW,7/24/2018,7/15/2019
149,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,12/21/2018,7/11/2019
150,AGENCE DE KENYA ,F,1/1/1986,RETAIL                        ,RW,4/12/2019,7/1/2019
151,AGENCE DE KENYA ,M,12/25/1987,RETAIL                        ,RW,12/31/2013,6/12/2014
152,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,11/13/2014,6/17/2015
153,AGENCE DE KENYA ,F,1/6/1961,RETAIL                        ,RW,8/16/2012,1/21/2016
154,AGENCE DE KENYA ,M,12/14/1987,RETAIL                        ,RW,6/12/2014,10/3/2014
155,AGENCE DE KENYA ,F,10/12/1949,RETAIL                        ,RW,4/24/2013,1/6/2017
156,AGENCE DE KENYA ,F,11/27/1997,RETAIL                        ,RW,12/29/2016,7/12/2019
157,AGENCE DE KENYA ,F,5/15/1969,RETAIL                        ,FR,11/9/2015,3/8/2019
158,AGENCE DE KENYA ,F,2/14/1990,RETAIL                        ,RW,10/2/2013,6/30/2014
159,AGENCE DE KENYA ,F,7/27/1978,RETAIL                        ,CD,6/29/2016,6/30/2017
160,AGENCE DE KENYA ,F,1/1/1987,RETAIL                        ,RW,9/4/2012,1/21/2016
161,AGENCE DE KENYA ,M,8/7/1974,RETAIL                        ,RW,4/10/2017,7/2/2019
162,AGENCE DE KENYA ,M,1/1/1992,RETAIL                        ,RW,9/26/2016,6/10/2019
163,AGENCE DE KENYA ,F,11/23/1981,RETAIL                        ,RW,9/6/2013,7/9/2019
164,AGENCE DE KENYA ,M,7/20/1991,RETAIL                        ,RW,5/7/2018,12/10/2018
165,AGENCE DE KENYA ,F,8/31/1980,RETAIL                        ,RW,8/3/2012,7/12/2019
166,AGENCE DE KENYA ,M,4/13/1982,RETAIL                        ,RW,7/29/2016,7/12/2019
167,AGENCE DE KENYA ,F,5/29/1992,RETAIL                        ,CA,8/11/2015,6/2/2016
168,AGENCE DE KENYA ,M,1/1/1985,RETAIL                        ,RW,9/10/2012,7/2/2019
169,AGENCE DE KENYA ,F,1/1/1992,RETAIL                        ,RW,10/9/2018,7/3/2019
170,AGENCE DE KENYA ,M,2/3/1976,RETAIL                        ,RW,11/16/2015,1/2/2017
171,AGENCE DE KENYA ,M,3/13/1982,RETAIL                        ,RW,7/11/2018,8/21/2018
172,AGENCE DE KENYA ,M,1/1/1954,RETAIL                        ,RW,8/5/2016,12/31/2018
173,AGENCE DE KENYA ,M,12/15/1989,RETAIL                        ,RW,11/26/2012,7/15/2019
174,AGENCE DE KENYA ,F,12/24/1992,RETAIL                        ,RW,6/28/2013,7/1/2019
175,AGENCE DE KENYA ,F,1/1/1992,RETAIL                        ,UG,2/22/2016,8/16/2016
176,AGENCE DE KENYA ,M,1/1/1964,RETAIL                        ,RW,1/27/2017,7/24/2017
177,AGENCE DE KENYA ,F,10/24/1971,RETAIL                        ,RW,2/15/2019,7/11/2019
178,AGENCE DE KENYA ,F,3/13/1967,RETAIL                        ,RW,5/23/2018,1/1/1900
179,AGENCE DE KENYA ,F,4/14/1966,RETAIL                        ,BI,4/15/2015,7/15/2019
180,AGENCE DE KENYA ,F,1/1/1984,RETAIL                        ,RW,8/4/2016,7/15/2019
181,AGENCE DE KENYA ,M,1/1/1997,RETAIL                        ,RW,10/5/2016,5/8/2018
182,AGENCE DE KENYA ,M,2/15/2000,RETAIL                        ,RW,9/20/2018,12/27/2018
183,AGENCE DE KENYA ,F,11/17/1963,RETAIL                        ,RW,8/8/2016,8/13/2018
184,AGENCE DE KENYA ,M,12/10/1989,RETAIL                        ,RW,8/8/2016,11/26/2018
185,AGENCE DE KENYA ,M,1/1/1986,RETAIL                        ,RW,7/25/2017,5/29/2019
186,AGENCE DE KENYA ,F,2/9/1958,RETAIL                        ,RW,9/15/2017,7/11/2019
187,AGENCE DE KENYA ,F,1/1/1987,RETAIL                        ,RW,3/19/2013,5/10/2019
188,AGENCE DE KENYA ,M,1/1/1991,RETAIL                        ,RW,7/19/2017,1/1/1900
189,AGENCE DE KENYA ,F,1/1/1997,RETAIL                        ,RW,7/19/2017,7/15/2019
190,AGENCE DE KENYA ,M,1/1/1979,RETAIL                        ,RW,4/10/2013,6/30/2014
191,AGENCE DE KENYA ,M,1/10/1981,RETAIL                        ,RW,8/16/2018,11/20/2018
192,AGENCE DE KENYA ,M,5/2/1982,RETAIL                        ,RW,12/31/2013,11/27/2015
193,AGENCE DE KENYA ,M,1/1/1989,RETAIL                        ,RW,12/4/2012,7/8/2019
194,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,11/8/2017,11/9/2018
195,AGENCE DE KENYA ,F,8/15/1987,RETAIL                        ,RW,9/17/2012,1/21/2016
196,AGENCE DE KENYA ,M,4/13/1990,RETAIL                        ,RW,5/12/2016,7/8/2019
197,AGENCE DE KENYA ,M,1/1/1980,RETAIL                        ,RW,3/11/2019,7/10/2019
198,AGENCE DE KENYA ,M,5/2/1995,RETAIL                        ,BI,1/4/2019,3/22/2019
199,AGENCE DE KENYA ,M,7/14/1969,RETAIL                        ,KE,11/24/2015,3/20/2018
200,AGENCE DE KENYA ,M,5/31/1970,RETAIL                        ,FR,5/14/2018,7/5/2019
201,AGENCE DE KENYA ,M,5/10/1983,RETAIL                        ,CI,4/11/2016,3/11/2019
202,AGENCE DE KENYA ,F,10/17/1987,RETAIL                        ,RW,3/21/2014,5/8/2019
203,AGENCE DE KENYA ,M,1/1/1993,RETAIL                        ,RW,5/30/2018,1/1/1900
204,AGENCE DE KENYA ,F,1/1/1995,RETAIL                        ,RW,4/12/2018,6/24/2019
205,AGENCE DE KENYA ,M,9/9/1977,RETAIL                        ,RW,6/14/2013,7/8/2016
206,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,2/16/2018,7/15/2019
207,AGENCE DE KENYA ,M,12/25/1975,RETAIL                        ,RW,11/19/2013,11/27/2015
208,AGENCE DE KENYA ,M,2/20/1987,RETAIL                        ,RW,6/12/2014,1/1/1900
209,AGENCE DE KENYA ,F,12/20/1992,RETAIL                        ,RW,12/27/2017,1/1/1900
210,AGENCE DE KENYA ,F,7/3/1950,RETAIL                        ,RW,12/19/2014,12/29/2015
211,AGENCE DE KENYA ,M,1/1/1984,RETAIL                        ,RW,10/3/2018,7/10/2019
212,AGENCE DE KENYA ,F,2/19/1985,RETAIL                        ,ES,11/25/2015,10/17/2018
213,AGENCE DE KENYA ,M,1/1/1998,RETAIL                        ,RW,5/24/2018,7/23/2018
214,AGENCE DE KENYA ,M,8/23/1986,RETAIL                        ,RW,8/6/2012,7/14/2017
215,AGENCE DE KENYA ,M,11/11/1973,RETAIL                        ,RW,9/25/2017,5/20/2019
216,AGENCE DE KENYA ,M,7/26/1995,RETAIL                        ,RW,10/31/2017,2/23/2018
217,AGENCE DE KENYA ,M,1/1/1984,RETAIL                        ,RW,11/2/2017,7/8/2019
218,AGENCE DE KENYA ,M,10/2/1990,RETAIL                        ,RW,3/22/2019,7/10/2019
219,AGENCE DE KENYA ,M,9/17/1976,RETAIL                        ,US,3/9/2015,8/29/2016
220,AGENCE DE KENYA ,F,12/25/1983,RETAIL                        ,RW,4/11/2013,7/9/2019
221,AGENCE DE KENYA ,M,11/13/1954,RETAIL                        ,RW,12/5/2012,11/1/2018
222,AGENCE DE KENYA ,M,1/1/1990,RETAIL                        ,RW,6/12/2014,10/31/2014
223,AGENCE DE KENYA ,F,11/1/1993,RETAIL                        ,RW,3/10/2014,1/1/1900
224,AGENCE DE KENYA ,F,3/25/1985,RETAIL                        ,RW,4/18/2019,7/10/2019
225,AGENCE DE KENYA ,M,1/1/1993,RETAIL                        ,RW,11/29/2017,7/12/2019
226,AGENCE DE KENYA ,M,8/1/1982,RETAIL                        ,RW,1/30/2015,5/17/2019
227,AGENCE DE KENYA ,M,9/10/1964,RETAIL                        ,RW,6/24/2013,7/26/2016
228,AGENCE DE KENYA ,F,1/1/1993,RETAIL                        ,RW,8/16/2016,5/4/2017
229,AGENCE DE KENYA ,F,1/30/1985,RETAIL                        ,RW,9/28/2018,6/27/2019
230,AGENCE DE KENYA ,M,10/10/1989,RETAIL                        ,RW,2/11/2014,10/18/2018
231,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,8/26/2016,7/15/2019
232,AGENCE DE KENYA ,M,7/2/1996,RETAIL                        ,RW,12/20/2017,2/19/2018
233,AGENCE DE KENYA ,F,7/19/1979,RETAIL                        ,RW,10/2/2012,9/27/2013
234,AGENCE DE KENYA ,M,12/5/1983,RETAIL                        ,RW,8/13/2015,1/2/2017
235,AGENCE DE KENYA ,M,8/9/1991,RETAIL                        ,RW,11/13/2017,4/9/2018
236,AGENCE DE KENYA ,M,1/1/1988,RETAIL                        ,RW,12/29/2014,3/4/2019
237,AGENCE DE KENYA ,M,2/27/1987,RETAIL                        ,RW,4/23/2015,5/3/2016
238,AGENCE DE KENYA ,M,1/1/1986,RETAIL                        ,RW,1/15/2019,5/20/2019
239,AGENCE DE KENYA ,M,1/1/1972,RETAIL                        ,RW,2/22/2013,1/5/2016
240,AGENCE DE KENYA ,M,8/16/1996,RETAIL                        ,US,6/17/2019,6/24/2019
241,AGENCE DE KENYA ,M,1/1/1989,RETAIL                        ,RW,2/4/2014,12/29/2015
242,AGENCE DE KENYA ,M,3/22/1987,RETAIL                        ,RW,9/11/2012,1/2/2017
243,AGENCE DE KENYA ,M,9/6/1983,RETAIL                        ,RW,2/5/2013,8/23/2017
244,AGENCE DE KENYA ,F,5/25/1971,RETAIL                        ,RW,5/20/2013,3/31/2014
245,AGENCE DE KENYA ,M,9/15/1954,RETAIL                        ,AN,9/19/2018,7/15/2019
246,AGENCE DE KENYA ,M,5/10/1984,RETAIL                        ,RW,9/24/2012,7/8/2019
247,AGENCE DE KENYA ,M,7/23/1991,RETAIL                        ,RW,3/22/2019,7/11/2019
248,AGENCE DE KENYA ,M,1/1/1986,RETAIL                        ,RW,11/2/2017,7/11/2019
249,AGENCE DE KENYA ,M,4/28/1984,RETAIL                        ,RW,10/24/2016,3/25/2019
250,AGENCE DE KENYA ,F,3/28/1985,RETAIL                        ,RW,1/6/2014,7/30/2018
251,AGENCE DE KENYA ,F,2/5/1988,RETAIL                        ,RW,4/16/2013,5/17/2019
252,AGENCE DE KENYA ,M,1/1/1974,RETAIL                        ,RW,8/2/2016,3/7/2019
253,AGENCE DE KENYA ,F,1/1/1983,RETAIL                        ,RW,3/11/2019,7/10/2019
254,AGENCE DE KENYA ,M,1/1/1989,RETAIL                        ,RW,10/17/2017,3/5/2018
255,AGENCE DE KENYA ,M,6/19/1985,RETAIL                        ,GH,7/3/2018,6/20/2019
256,AGENCE DE KENYA ,M,9/3/1959,RETAIL                        ,RW,6/7/2018,7/12/2019
257,AGENCE DE KENYA ,M,1/1/1992,RETAIL                        ,RW,10/26/2017,7/11/2019
258,AGENCE DE KENYA ,M,3/21/1986,RETAIL                        ,RW,2/5/2013,5/8/2013
259,AGENCE DE KENYA ,F,8/21/1985,RETAIL                        ,RW,5/2/2013,6/24/2019
260,AGENCE DE KENYA ,M,9/12/1988,RETAIL                        ,RW,1/23/2018,4/10/2018
261,AGENCE DE KENYA ,M,1/1/1997,RETAIL                        ,RW,9/28/2016,11/22/2016
262,AGENCE DE KENYA ,F,7/17/1995,RETAIL                        ,RW,8/8/2016,4/24/2019
263,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,6/22/2012,3/12/2018
264,AGENCE DE KENYA ,M,1/31/1993,RETAIL                        ,RW,8/21/2017,5/31/2019
265,AGENCE DE KENYA ,M,1/1/1984,RETAIL                        ,RW,6/12/2014,12/29/2015
266,AGENCE DE KENYA ,M,6/5/1957,RETAIL                        ,RW,1/28/2013,10/10/2018
267,AGENCE DE KENYA ,M,2/10/1993,RETAIL                        ,RW,11/13/2017,1/8/2018
268,AGENCE DE KENYA ,F,1/1/1993,RETAIL                        ,RW,7/11/2017,9/14/2017
269,AGENCE DE KENYA ,M,11/16/1986,RETAIL                        ,RW,9/10/2018,7/10/2019
270,AGENCE DE KENYA ,M,1/1/1974,RETAIL                        ,RW,7/25/2016,3/6/2019
271,AGENCE DE KENYA ,F,1/1/1993,RETAIL                        ,RW,5/23/2016,7/6/2016
272,AGENCE DE KENYA ,M,1/13/1977,RETAIL                        ,RW,11/29/2017,7/15/2019
273,AGENCE DE KENYA ,C,1/1/1900,RETAIL                        ,RW,12/11/2015,6/10/2019
